job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,remote_ratio
Data Architect,SE,FT,On-site,2023,US,263100,USD,263100,US,M,0
Data Architect,SE,FT,On-site,2023,US,126300,USD,126300,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,319000,USD,319000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,221000,USD,221000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,200000,USD,200000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,116700,USD,116700,US,M,0
Data Analyst,SE,FT,On-site,2023,US,93400,USD,93400,US,M,0
Data Developer,MI,FT,On-site,2023,US,100000,USD,100000,US,M,0
Data Developer,MI,FT,On-site,2023,US,95000,USD,95000,US,M,0
Machine Learning Infrastructure Engineer,SE,FT,Remote,2023,US,247000,USD,247000,US,M,100
Machine Learning Infrastructure Engineer,SE,FT,Remote,2023,US,152000,USD,152000,US,M,100
Data Scientist,SE,FT,On-site,2023,US,268000,USD,268000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,137500,USD,137500,US,M,0
Research Engineer,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Research Engineer,SE,FT,On-site,2023,US,80000,USD,80000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,187100,USD,187100,US,M,0
Data Engineer,SE,FT,On-site,2023,US,107600,USD,107600,US,M,0
Data Scientist,SE,FT,On-site,2023,US,184800,USD,184800,US,M,0
Data Scientist,SE,FT,On-site,2023,US,161900,USD,161900,US,M,0
Data Scientist,SE,FT,On-site,2023,US,212000,USD,212000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,93300,USD,93300,US,M,0
Data Architect,SE,FT,On-site,2023,US,184000,USD,184000,US,M,0
Data Architect,SE,FT,On-site,2023,US,96000,USD,96000,US,M,0
Analytics Engineer,MI,FT,On-site,2023,US,204000,USD,204000,US,M,0
Analytics Engineer,MI,FT,On-site,2023,US,112500,USD,112500,US,M,0
Data Product Manager,SE,FT,On-site,2023,US,220000,USD,220000,US,M,0
Data Product Manager,SE,FT,On-site,2023,US,137500,USD,137500,US,M,0
Machine Learning Engineer,MI,FT,On-site,2023,US,204500,USD,204500,US,M,0
Machine Learning Engineer,MI,FT,On-site,2023,US,142200,USD,142200,US,M,0
Data Scientist,SE,FT,Remote,2023,US,170000,USD,170000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,140000,USD,140000,US,M,100
Research Engineer,MI,FT,On-site,2023,US,150000,USD,150000,US,M,0
Research Engineer,MI,FT,On-site,2023,US,80000,USD,80000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,116000,USD,116000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,110000,USD,110000,US,M,0
Data Analyst,EN,FT,On-site,2023,US,132000,USD,132000,US,M,0
Data Analyst,EN,FT,On-site,2023,US,104000,USD,104000,US,M,0
Machine Learning Engineer,SE,FT,Remote,2023,US,175000,USD,175000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2023,US,141000,USD,141000,US,M,100
Data Product Manager,SE,FT,Remote,2023,US,198000,USD,198000,US,M,100
Data Product Manager,SE,FT,Remote,2023,US,151000,USD,151000,US,M,100
Data Analyst,EN,FT,On-site,2023,US,83000,USD,83000,US,M,0
Data Scientist,EN,FT,On-site,2023,US,150000,USD,150000,US,M,0
Data Scientist,MI,FT,On-site,2023,US,204500,USD,204500,US,M,0
Data Scientist,MI,FT,On-site,2023,US,142200,USD,142200,US,M,0
Data Engineer,SE,FT,On-site,2023,US,185000,USD,185000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,130000,USD,130000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,250000,USD,250000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,125000,USD,125000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,81500,USD,81500,US,M,0
Data Analyst,SE,FT,Remote,2023,US,120500,USD,120500,US,M,100
Data Science,EX,FT,On-site,2023,US,218000,USD,218000,US,M,0
Data Science,EX,FT,On-site,2023,US,168000,USD,168000,US,M,0
Data Scientist,MI,FT,Remote,2023,US,119200,USD,119200,US,M,100
Data Scientist,MI,FT,Remote,2023,US,86600,USD,86600,US,M,100
Machine Learning Engineer,SE,FT,On-site,2023,US,184800,USD,184800,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,161900,USD,161900,US,M,0
Data Engineer,MI,FT,On-site,2023,US,128600,USD,128600,US,M,0
Data Engineer,MI,FT,On-site,2023,US,100000,USD,100000,US,M,0
Machine Learning Engineer,EN,FT,On-site,2023,US,162240,USD,162240,US,M,0
Machine Learning Engineer,EN,FT,On-site,2023,US,47840,USD,47840,US,M,0
Data Scientist,SE,FT,On-site,2023,US,205500,USD,205500,US,M,0
Data Scientist,SE,FT,On-site,2023,US,128500,USD,128500,US,M,0
Data Architect,SE,FT,On-site,2023,US,164000,USD,164000,US,M,0
Data Architect,SE,FT,On-site,2023,US,117000,USD,117000,US,M,0
AI Engineer,SE,FT,On-site,2023,US,142352,USD,142352,US,M,0
AI Engineer,SE,FT,On-site,2023,US,95325,USD,95325,US,M,0
Machine Learning Engineer,MI,FT,On-site,2023,US,247500,USD,247500,US,M,0
Machine Learning Engineer,MI,FT,On-site,2023,US,172200,USD,172200,US,M,0
Data Analyst,MI,FT,Remote,2023,US,134000,USD,134000,US,M,100
Data Analyst,MI,FT,Remote,2023,US,90000,USD,90000,US,M,100
Data Engineer,SE,FT,On-site,2023,US,204000,USD,204000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,163200,USD,163200,US,M,0
Data Architect,SE,FT,Remote,2023,US,168000,USD,168000,US,M,100
Data Architect,SE,FT,Remote,2023,US,143000,USD,143000,US,M,100
Data Scientist,SE,FT,On-site,2023,US,142352,USD,142352,US,M,0
Data Scientist,SE,FT,On-site,2023,US,95325,USD,95325,US,M,0
Data Analyst,SE,FT,Remote,2023,US,105000,USD,105000,US,M,100
Data Analyst,SE,FT,Remote,2023,US,100000,USD,100000,US,M,100
Data Integration Engineer,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Data Integration Engineer,SE,FT,On-site,2023,US,125000,USD,125000,US,M,0
Research Analyst,EN,FT,On-site,2023,US,131000,USD,131000,US,L,0
Research Analyst,EN,FT,On-site,2023,US,54400,USD,54400,US,L,0
Data Management Analyst,EN,FT,On-site,2023,US,120000,USD,120000,US,M,0
Data Management Analyst,EN,FT,On-site,2023,US,50000,USD,50000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,170000,USD,170000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,120000,USD,120000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,359170,USD,359170,US,M,0
Data Scientist,SE,FT,On-site,2023,US,295490,USD,295490,US,M,0
Data Analyst,EN,FT,Remote,2023,US,102000,USD,102000,US,M,100
Data Analyst,EN,FT,Remote,2023,US,92000,USD,92000,US,M,100
Business Intelligence Analyst,EN,FT,On-site,2023,US,132567,USD,132567,US,M,0
Business Intelligence Analyst,EN,FT,On-site,2023,US,96412,USD,96412,US,M,0
Data Engineer,SE,FT,On-site,2023,US,230000,USD,230000,US,M,0
Data Engineer,MI,FT,Remote,2023,US,110000,USD,110000,US,M,100
Data Engineer,MI,FT,Remote,2023,US,90000,USD,90000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,172800,USD,172800,US,M,100
Data Scientist,SE,FT,Remote,2023,US,110000,USD,110000,US,M,100
Research Scientist,SE,FT,On-site,2023,US,135842,USD,135842,US,M,0
Research Scientist,SE,FT,On-site,2023,US,98794,USD,98794,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,331640,USD,331640,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,267720,USD,267720,US,M,0
Research Engineer,SE,FT,On-site,2023,US,266450,USD,266450,US,M,0
Research Engineer,SE,FT,On-site,2023,US,177700,USD,177700,US,M,0
Research Engineer,EN,FT,On-site,2023,US,350000,USD,350000,US,M,0
Research Engineer,EN,FT,On-site,2023,US,250000,USD,250000,US,M,0
ML Engineer,MI,FT,On-site,2023,US,155000,USD,155000,US,M,0
ML Engineer,MI,FT,On-site,2023,US,125000,USD,125000,US,M,0
Research Scientist,SE,FT,On-site,2023,US,278700,USD,278700,US,M,0
Research Scientist,SE,FT,On-site,2023,US,159300,USD,159300,US,M,0
AI Engineer,MI,FT,On-site,2023,US,171000,USD,171000,US,M,0
AI Engineer,MI,FT,On-site,2023,US,151000,USD,151000,US,M,0
BI Developer,MI,FT,Remote,2023,US,100000,USD,100000,US,M,100
BI Developer,MI,FT,Remote,2023,US,80000,USD,80000,US,M,100
Data Engineer,SE,FT,Remote,2023,US,174990,USD,174990,US,M,100
Data Engineer,SE,FT,Remote,2023,US,132624,USD,132624,US,M,100
Data Visualization Specialist,MI,FT,On-site,2023,US,166000,USD,166000,US,M,0
Data Visualization Specialist,MI,FT,On-site,2023,US,73100,USD,73100,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,212000,USD,212000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,93300,USD,93300,US,M,0
Data Architect,SE,FT,On-site,2023,US,210100,USD,210100,US,M,0
Data Architect,SE,FT,On-site,2023,US,95500,USD,95500,US,M,0
Data Engineer,SE,FT,On-site,2023,US,184600,USD,184600,US,M,0
Data Engineer,SE,FT,On-site,2023,US,99400,USD,99400,US,M,0
Business Intelligence Engineer,SE,FT,On-site,2023,US,205000,USD,205000,US,M,0
Business Intelligence Engineer,SE,FT,On-site,2023,US,155400,USD,155400,US,M,0
Data Scientist,MI,FT,On-site,2023,US,169000,USD,169000,US,M,0
Data Scientist,MI,FT,On-site,2023,US,105500,USD,105500,US,M,0
Data Analyst,MI,FT,On-site,2023,US,90500,USD,90500,US,M,0
Data Analyst,MI,FT,On-site,2023,US,42400,USD,42400,US,M,0
Data Scientist,SE,FT,Remote,2023,US,234000,USD,234000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,146000,USD,146000,US,M,100
Research Engineer,MI,FT,On-site,2023,US,128167,USD,128167,US,M,0
Research Engineer,MI,FT,On-site,2023,US,85445,USD,85445,US,M,0
Data Scientist,SE,FT,On-site,2023,US,93400,USD,93400,US,M,0
BI Analyst,MI,FT,On-site,2023,US,172300,USD,172300,US,M,0
BI Analyst,MI,FT,On-site,2023,US,86100,USD,86100,US,M,0
Data Engineer,MI,FT,Remote,2023,US,138000,USD,138000,US,M,100
Data Engineer,MI,FT,Remote,2023,US,86000,USD,86000,US,M,100
Research Analyst,EN,FT,On-site,2023,US,179000,USD,179000,US,M,0
Research Analyst,EN,FT,On-site,2023,US,112000,USD,112000,US,M,0
Analytics Engineer,SE,FT,Remote,2023,US,700000,USD,700000,US,M,100
Analytics Engineer,SE,FT,Remote,2023,US,150000,USD,150000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,179000,USD,179000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,112000,USD,112000,US,M,100
Data Analyst,SE,FT,On-site,2023,US,122000,USD,122000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,94000,USD,94000,US,M,0
Data Science Consultant,SE,FT,On-site,2023,US,122000,USD,122000,US,M,0
Data Science Consultant,SE,FT,On-site,2023,US,94000,USD,94000,US,M,0
Business Intelligence Engineer,SE,FT,On-site,2023,US,225000,USD,225000,US,M,0
Business Intelligence Engineer,SE,FT,On-site,2023,US,180000,USD,180000,US,M,0
Data Engineer,SE,FT,Remote,2023,US,165000,USD,165000,US,M,100
Data Engineer,SE,FT,Remote,2023,US,122445,USD,122445,US,M,100
ML Engineer,SE,FT,On-site,2023,US,275000,USD,275000,US,M,0
ML Engineer,SE,FT,On-site,2023,US,187000,USD,187000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,212800,USD,212800,US,L,0
Research Scientist,MI,FT,On-site,2023,US,124100,USD,124100,US,L,0
Data Scientist,EN,FT,On-site,2023,US,130000,USD,130000,US,M,0
Data Scientist,EN,FT,On-site,2023,US,80000,USD,80000,US,M,0
Data Scientist,SE,FT,Remote,2023,US,160000,USD,160000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,130000,USD,130000,US,M,100
Machine Learning Engineer,SE,FT,On-site,2023,US,240810,USD,240810,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,126800,USD,126800,US,M,0
Data Science Engineer,SE,FT,Remote,2023,US,145000,USD,145000,US,M,100
Data Science Engineer,SE,FT,Remote,2023,US,135000,USD,135000,US,M,100
Data Architect,SE,FT,Remote,2023,US,222000,USD,222000,US,M,100
Data Architect,SE,FT,Remote,2023,US,132000,USD,132000,US,M,100
Applied Scientist,SE,FT,Remote,2023,US,250000,USD,250000,US,M,100
Applied Scientist,SE,FT,Remote,2023,US,170000,USD,170000,US,M,100
Machine Learning Infrastructure Engineer,SE,FT,On-site,2023,US,250000,USD,250000,US,M,0
Machine Learning Infrastructure Engineer,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Data Architect,SE,FT,On-site,2023,US,222000,USD,222000,US,M,0
Data Architect,SE,FT,On-site,2023,US,132000,USD,132000,US,M,0
Business Data Analyst,SE,FT,Hybrid,2023,US,94000,USD,94000,US,L,50
Data Science,SE,FT,On-site,2023,US,110000,USD,110000,US,M,0
Data Science,SE,FT,On-site,2023,US,70000,USD,70000,US,M,0
Data Science,SE,FT,On-site,2023,US,245000,USD,245000,US,M,0
Data Science,SE,FT,On-site,2023,US,185000,USD,185000,US,M,0
Data Science,SE,FT,On-site,2023,US,207900,USD,207900,US,M,0
Data Science,SE,FT,On-site,2023,US,158400,USD,158400,US,M,0
Data Science,SE,FT,On-site,2023,US,138000,USD,138000,US,M,0
Data Science,SE,FT,On-site,2023,US,86000,USD,86000,US,M,0
Data Science,SE,FT,Remote,2023,US,135800,USD,135800,US,M,100
Data Science,SE,FT,Remote,2023,US,95100,USD,95100,US,M,100
Data Engineer,SE,FT,Remote,2023,US,190000,USD,190000,US,M,100
Data Engineer,SE,FT,Remote,2023,US,160000,USD,160000,US,M,100
Applied Scientist,SE,FT,On-site,2023,US,260000,USD,260000,US,L,0
Applied Scientist,SE,FT,On-site,2023,US,136000,USD,136000,US,L,0
Data Architect,SE,FT,On-site,2023,US,180000,USD,180000,US,M,0
Data Architect,SE,FT,On-site,2023,US,166375,USD,166375,US,M,0
Applied Scientist,SE,FT,On-site,2023,US,212800,USD,212800,US,L,0
Applied Scientist,SE,FT,On-site,2023,US,115100,USD,115100,US,L,0
Data Specialist,MI,FT,On-site,2023,US,60000,USD,60000,US,M,0
Data Specialist,MI,FT,On-site,2023,US,48000,USD,48000,US,M,0
Data Scientist,MI,FT,On-site,2023,US,60000,USD,60000,US,M,0
Data Scientist,MI,FT,On-site,2023,US,55000,USD,55000,US,M,0
Research Scientist,SE,FT,On-site,2023,US,205500,USD,205500,US,M,0
Research Scientist,SE,FT,On-site,2023,US,132500,USD,132500,US,M,0
Data Science,MI,FT,On-site,2023,US,223600,USD,223600,US,L,0
Data Science,MI,FT,On-site,2023,US,115000,USD,115000,US,L,0
Research Scientist,MI,FT,On-site,2023,US,165000,USD,165000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,150000,USD,150000,US,M,0
Research Analyst,EN,FT,Remote,2023,US,62000,USD,62000,US,M,100
Research Analyst,EN,FT,Remote,2023,US,49000,USD,49000,US,M,100
Machine Learning Operations Engineer,SE,FT,On-site,2023,US,160000,USD,160000,US,M,0
Machine Learning Operations Engineer,SE,FT,On-site,2023,US,140000,USD,140000,US,M,0
Data Analyst,EN,FT,Remote,2023,US,106100,USD,106100,US,M,100
Data Analyst,EN,FT,Remote,2023,US,74300,USD,74300,US,M,100
Data Scientist,SE,FT,On-site,2023,US,245000,USD,245000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,185000,USD,185000,US,M,0
Data Manager,MI,FT,On-site,2023,US,132300,USD,132300,US,M,0
Data Manager,MI,FT,On-site,2023,US,93000,USD,93000,US,M,0
Data Architect,SE,FT,Remote,2023,US,234000,USD,234000,US,M,100
Data Architect,SE,FT,Remote,2023,US,146000,USD,146000,US,M,100
Data Manager,SE,FT,On-site,2023,US,96600,USD,96600,US,M,0
Data Manager,SE,FT,On-site,2023,US,55200,USD,55200,US,M,0
Data Analyst,EN,FT,On-site,2023,US,83300,USD,83300,US,M,0
Data Visualization Specialist,EN,FT,On-site,2023,US,99300,USD,99300,US,M,0
Data Visualization Specialist,EN,FT,On-site,2023,US,82800,USD,82800,US,M,0
Data Architect,SE,FT,On-site,2023,US,145000,USD,145000,US,M,0
Data Architect,SE,FT,On-site,2023,US,110841,USD,110841,US,M,0
Data Analyst,MI,FT,On-site,2023,US,101000,USD,101000,US,M,0
Data Analyst,MI,FT,On-site,2023,US,50000,USD,50000,US,M,0
Data Engineer,SE,FT,Remote,2023,US,182500,USD,182500,US,M,100
Data Engineer,SE,FT,Remote,2023,US,121700,USD,121700,US,M,100
Data Analyst,SE,FT,Remote,2023,US,134500,USD,134500,US,M,100
Data Analyst,SE,FT,Remote,2023,US,91460,USD,91460,US,M,100
Data Scientist,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Research Analyst,EN,FT,On-site,2023,US,75753,USD,75753,US,M,0
Research Analyst,EN,FT,On-site,2023,US,47423,USD,47423,US,M,0
Data Engineer,SE,FT,On-site,2023,US,124935,USD,124935,US,M,0
Data Engineer,SE,FT,On-site,2023,US,76050,USD,76050,US,M,0
Data Engineer,SE,FT,On-site,2023,US,286000,USD,286000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,143000,USD,143000,US,M,0
Data Engineer,MI,FT,Remote,2023,US,106400,USD,106400,US,M,100
Data Engineer,MI,FT,Remote,2023,US,70000,USD,70000,US,M,100
Data Engineer,SE,FT,On-site,2023,US,243600,USD,243600,US,M,0
Data Engineer,SE,FT,On-site,2023,US,148200,USD,148200,US,M,0
Data Analyst,EN,FT,Remote,2023,US,131600,USD,131600,US,M,100
Data Analyst,EN,FT,Remote,2023,US,82400,USD,82400,US,M,100
Machine Learning Engineer,SE,FT,On-site,2023,US,245700,USD,245700,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,132300,USD,132300,US,M,0
Data Analyst,EN,FT,Remote,2023,US,155750,USD,155750,US,M,100
Data Analyst,EN,FT,Remote,2023,US,79350,USD,79350,US,M,100
Data Engineer,SE,FT,On-site,2023,US,234000,USD,234000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,117000,USD,117000,US,M,0
AI Engineer,SE,FT,On-site,2023,US,242000,USD,242000,US,M,0
AI Engineer,SE,FT,On-site,2023,US,106200,USD,106200,US,M,0
Data Analyst,SE,FT,Remote,2023,US,123900,USD,123900,US,M,100
Data Analyst,SE,FT,Remote,2023,US,75000,USD,75000,US,M,100
Data Engineer,MI,FT,On-site,2023,US,136500,USD,136500,US,M,0
Data Engineer,MI,FT,On-site,2023,US,123500,USD,123500,US,M,0
Data Engineer,SE,FT,Remote,2023,US,227500,USD,227500,US,M,100
Data Engineer,SE,FT,Remote,2023,US,145600,USD,145600,US,M,100
Machine Learning Engineer,SE,FT,On-site,2023,US,186754,USD,186754,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,101000,USD,101000,US,M,0
Data Scientist,EN,FT,On-site,2023,US,149800,USD,149800,US,M,0
Data Scientist,EN,FT,On-site,2023,US,70800,USD,70800,US,M,0
Data Engineer,MI,FT,Remote,2023,US,132000,USD,132000,US,M,100
Data Engineer,MI,FT,Remote,2023,US,111000,USD,111000,US,M,100
Data Engineer,MI,FT,Remote,2023,US,180000,USD,180000,US,M,100
Data Engineer,MI,FT,Remote,2023,US,162000,USD,162000,US,M,100
Data Analyst,SE,FT,On-site,2023,US,150000,USD,150000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,135000,USD,135000,US,M,0
Analytics Engineer,SE,FT,On-site,2023,US,115000,USD,115000,US,M,0
Analytics Engineer,SE,FT,On-site,2023,US,95000,USD,95000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,238000,USD,238000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,144500,USD,144500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,145000,USD,145000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,98500,USD,98500,US,M,0
Data Scientist,MI,FT,Remote,2023,US,209300,USD,209300,US,M,100
Data Scientist,MI,FT,Remote,2023,US,123800,USD,123800,US,M,100
Machine Learning Engineer,EN,FT,On-site,2023,US,130400,USD,130400,US,M,0
Machine Learning Engineer,EN,FT,On-site,2023,US,70800,USD,70800,US,M,0
Data Engineer,MI,FT,On-site,2023,US,160000,USD,160000,US,M,0
Data Engineer,MI,FT,On-site,2023,US,75000,USD,75000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,300000,USD,300000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,200000,USD,200000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,254900,USD,254900,US,M,0
Data Scientist,SE,FT,On-site,2023,US,203920,USD,203920,US,M,0
Data Scientist,SE,FT,On-site,2023,US,191200,USD,191200,US,M,0
Data Scientist,SE,FT,On-site,2023,US,170186,USD,170186,US,M,0
Data Analyst,SE,FT,Remote,2023,US,150000,USD,150000,US,M,100
NLP Engineer,EX,FT,On-site,2023,US,200000,USD,200000,US,M,0
NLP Engineer,EX,FT,On-site,2023,US,150000,USD,150000,US,M,0
MLOps Engineer,SE,FT,On-site,2023,US,247300,USD,247300,US,M,0
MLOps Engineer,SE,FT,On-site,2023,US,139700,USD,139700,US,M,0
Marketing Data Scientist,SE,FT,Hybrid,2023,US,90000,USD,90000,US,L,50
Data Architect,SE,FT,On-site,2023,US,198000,USD,198000,US,M,0
Data Architect,SE,FT,On-site,2023,US,94000,USD,94000,US,M,0
Applied Scientist,SE,FT,On-site,2023,US,219100,USD,219100,US,M,0
Applied Scientist,SE,FT,On-site,2023,US,118500,USD,118500,US,M,0
Data Engineer,SE,FT,Remote,2023,US,128000,USD,128000,US,M,100
Data Engineer,EN,FT,Remote,2023,US,60000,USD,60000,US,M,100
Data Engineer,EN,FT,Remote,2023,US,48000,USD,48000,US,M,100
Data Engineer,EX,FT,On-site,2023,US,234000,USD,234000,US,M,0
Data Engineer,EX,FT,On-site,2023,US,146000,USD,146000,US,M,0
Data Analyst,MI,FT,On-site,2023,US,130100,USD,130100,US,M,0
Business Intelligence Manager,MI,FT,On-site,2023,US,166500,USD,166500,US,M,0
Business Intelligence Manager,MI,FT,On-site,2023,US,104000,USD,104000,US,M,0
AI Engineer,MI,FT,On-site,2023,US,166000,USD,166000,US,M,0
AI Engineer,MI,FT,On-site,2023,US,73100,USD,73100,US,M,0
Research Engineer,EN,FT,On-site,2023,US,98000,USD,98000,US,M,0
Research Engineer,EN,FT,On-site,2023,US,73000,USD,73000,US,M,0
Analytics Engineer,SE,FT,On-site,2023,US,183540,USD,183540,US,M,0
Analytics Engineer,SE,FT,On-site,2023,US,132000,USD,132000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,240000,USD,240000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,133000,USD,133000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,273500,USD,273500,US,M,0
Data Scientist,SE,FT,On-site,2023,US,182500,USD,182500,US,M,0
Research Engineer,SE,FT,On-site,2023,US,240960,USD,240960,US,M,0
Research Engineer,SE,FT,On-site,2023,US,176000,USD,176000,US,M,0
Research Scientist,MI,FT,On-site,2023,US,130000,USD,130000,US,M,0
Data Engineer,SE,FT,Remote,2023,US,130000,USD,130000,US,M,100
Research Scientist,EN,FT,On-site,2023,US,162240,USD,162240,US,M,0
Research Scientist,EN,FT,On-site,2023,US,47840,USD,47840,US,M,0
Data Scientist,MI,FT,On-site,2023,US,296980,USD,296980,US,M,0
Data Scientist,MI,FT,On-site,2023,US,123740,USD,123740,US,M,0
ML Engineer,SE,FT,On-site,2023,US,247250,USD,247250,US,M,0
ML Engineer,SE,FT,On-site,2023,US,160000,USD,160000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,220000,USD,220000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,146000,USD,146000,US,M,0
Data Architect,SE,FT,Remote,2023,US,200000,USD,200000,US,M,100
Data Architect,SE,FT,Remote,2023,US,115000,USD,115000,US,M,100
Machine Learning Engineer,SE,FT,On-site,2023,US,370000,USD,370000,US,M,0
Business Intelligence Engineer,MI,FT,On-site,2023,US,185000,USD,185000,US,L,0
Business Intelligence Engineer,MI,FT,On-site,2023,US,79600,USD,79600,US,L,0
Data Science Consultant,SE,FT,On-site,2023,US,125000,USD,125000,US,M,0
Data Scientist,SE,FT,On-site,2023,US,175000,USD,175000,US,M,0
Data Scientist,SE,FT,Remote,2023,US,235000,USD,235000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,175000,USD,175000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2023,US,185000,USD,185000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2023,US,128000,USD,128000,US,M,100
Data Engineer,EX,FT,Remote,2023,US,350000,USD,350000,US,M,100
Data Engineer,EX,FT,Remote,2023,US,268000,USD,268000,US,M,100
Data Architect,SE,FT,Remote,2023,US,180000,USD,180000,US,M,100
Business Intelligence Analyst,EN,FT,On-site,2023,US,100000,USD,100000,US,M,0
Business Intelligence Analyst,EN,FT,On-site,2023,US,80000,USD,80000,US,M,0
Data Analyst,SE,FT,On-site,2023,US,234485,USD,234485,US,M,0
Data Analyst,SE,FT,On-site,2023,US,112655,USD,112655,US,M,0
Data Engineer,SE,FT,On-site,2023,US,146000,USD,146000,US,M,0
Data Scientist,MI,FT,On-site,2023,US,199700,USD,199700,US,M,0
Data Scientist,MI,FT,On-site,2023,US,70800,USD,70800,US,M,0
Data Analyst,EN,FT,On-site,2023,US,99900,USD,99900,US,M,0
Data Engineer,SE,FT,On-site,2023,US,158000,USD,158000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,90300,USD,90300,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,266500,USD,266500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2023,US,152000,USD,152000,US,M,0
Research Analyst,EN,FT,Remote,2023,US,70000,USD,70000,US,M,100
Research Analyst,EN,FT,Remote,2023,US,60000,USD,60000,US,M,100
Data Scientist,SE,FT,Remote,2023,US,187200,USD,187200,US,M,100
Data Scientist,SE,FT,Remote,2023,US,140400,USD,140400,US,M,100
Business Intelligence Engineer,SE,FT,On-site,2023,US,156400,USD,156400,US,M,0
Data Architect,SE,FT,On-site,2023,US,190900,USD,190900,US,M,0
Data Architect,SE,FT,On-site,2023,US,109100,USD,109100,US,M,0
Data Engineer,SE,FT,On-site,2023,US,145000,USD,145000,US,M,0
Data Engineer,SE,FT,On-site,2023,US,98500,USD,98500,US,M,0
Research Scientist,EN,FT,On-site,2023,US,195200,USD,195200,US,L,0
Research Scientist,EN,FT,On-site,2023,US,100400,USD,100400,US,L,0
Data Analyst,MI,FT,Remote,2023,US,125000,USD,125000,US,M,100
Data Analyst,MI,FT,Remote,2023,US,100000,USD,100000,US,M,100
Data Engineer,MI,FT,On-site,2023,US,181700,USD,181700,US,M,0
Data Engineer,MI,FT,On-site,2023,US,64300,USD,64300,US,M,0
Data Scientist,SE,FT,On-site,2023,US,185900,USD,185900,US,M,0
Data Scientist,SE,FT,On-site,2023,US,129300,USD,129300,US,M,0
Data Analyst,EN,FT,Remote,2023,US,85000,USD,85000,US,M,100
Data Analyst,EN,FT,Remote,2023,US,80000,USD,80000,US,M,100
Data Science Manager,SE,FT,Remote,2023,US,120000,USD,120000,US,M,100
